标题,星级,内容,标签
Good even in economy.,4,"Missed my chance for a premium economy seat, so had to settle for the regular economy and was not disappointed. Excellent check-in and crew service, good meals and fairly comfortable seats.Late departure from London, but still arrived early.",International' 'Economy' 'London - Hong Kong
Consistently Amazing,5,"I have flown Cathay Pacific for many years now. The experience never leaves you wanting for more. The crew are always extremely friendly and very attentive. The flat bed offering gives you plenty space and privacy to enjoy the Cathay experience.
Always a good experience with excitement to repeat.",International' 'Business Class' 'Madrid - Hong Kong
Declining Service,3,"The Cathay Pacific quality of service has definitely gone down over the years. It's sad because this airline used to be the best flying to Hong Kong. The friendliness and helpfulness of the flight attendants are sub-par now. Also, the land crew definitely no longer provides World class support to customers. Yet their airfares are still 4% higher than Air...",International' 'Economy' 'Vancouver - Hong Kong
Business trip to china,4,"My first experience of Cathay, mostly good, food fine, staff helpful, flight on time, temperature fine, Transfer ok, the headphone socket wouldn't take my Bose with its airplane plug, Wish the toilets were cleaner",International' 'Premium Economy' 'Manchester - Hong Kong
Like coming home,5,"I always fly Cathay, and I am a Marco Polo member of the airline as well, which gives you great perks from the get-go. Whenever I fly Cathay it feels like coming home, the service is great, the airplanes clean and the food good, the snacks and drinks throughout the flight is great and the entertainment more the sufficient. I...",International' 'Economy' 'San Francisco - Hong Kong
Holiday to Europe,5,"Would defiantly recommend Cathay pacific to anyone looking to travel overseas, very nice staff, always happy to help and serve. Meals were about an hour n half after departure and before arrival which gave us plenty of time to have a snooze inbetween, with next to no interruptions! Check in was amazing, self check in with people around to help,...",International' 'Economy' 'Melbourne - London
Cathay Pacific to the US,5,"Flew Cathay Pacific Business Class to San Francisco to attend a wedding and to review some scripts
Cathay Pacific has Well-designed seats and good toilet facilities
The service was fair
When compared to Singapore airlines business class the seat, the food and service seems to be better at Singapore airlines although usually Singapore airlines may tend to be generally more...",International' 'Business Class' 'Singapore - San Francisco
Excellent service,5,Excellent service in long haul flight. Very impressed with the flight attendant on board service. 15 hour flight is really long but they made it easier. Excellent in-flight entertainment. Thank you.,International' 'Economy' 'New York City - Hong Kong
Excellent Flight LAX to Singapore,4,"I chose this airline because they have a GR8 transfer terminal in Hong Kong. Also the crew was very friendly, food service excellent and good entertainment options.
Checked bags are automatically transferred to my connecting plane and it's an easy walk thru to the connecting gate.
Beware of other airlines that make you collect luggage upon arrival in China, go...",International' 'Economy' 'Los Angeles - Singapore
Surprisingly an upgrade to Premium Economy,4,"I arrived about 2 hours before the departure time 8.35 am. The CX check in counter staff asked me politely whether I would like to take an early flight, which to be departed 3 minutes earlier. Since my Singapore hotel check-in was 3 pm, I was puzzled for a few minutes. At last, I replied okay. And surprisingly, when I...",Southeast Asia' 'Economy' 'Hong Kong - Singapore
"Adequate, but no fireworks",3,"This was my first time on Cathay Pacific, and I was very excited to try its business class offering. The plane felt slightly dated, but the seats are comfortably sized and among the nicest to sleep on. We were served a very average dinner (and the ice cream on the menu never arrived), and my friend’s breakfast looked so grim...",International' 'Business Class' 'Dubai - Hong Kong
Efficient as usual but ...,4,"I am a regular CX flyer because it is reliable, efficient and provides me direct flights to my destinations! CX is highly competitive in the HK-Ho Chi Minh route as there are 3 flights a day and the price is considerably lower than its chief competitor, Vietnam Airlines. The aircraft on this route A33-3 is well maintained, large screen with...",Southeast Asia' 'Economy' 'Hong Kong - Ho Chi Minh City
Slept very well. Good service.,4,"In general, the flight was very good, but certain flaws in providers’ services need to be addressed.
Check-in and security clearance in Toronto were swift and easy, though properly handled. I prefer the security screening in Canada over others in North America as it is efficient, calm, and orderly and conducted in a respectful manner with special lanes for business/first...",International' 'Business Class' 'Toronto - Hong Kong
The Good and The Bad,4,"The overall Flying experience with Cathay Pacific is very good. From the cockpit to the cabin crew, to the amenities such as in-flight entertainment and meals, we were happy with everything. What we were not so happy with was the delays to scheduled flights.One delay was an extra 3 hours between flights. We had been notified via email of the...",International' 'Economy' 'Perth - Vancouver
I honestly expected something better...,3,"I had high expectations for Cathay, however overall I was disappointed.
The equipment is getting a little old and dated. the meal service was there NEW style and it was a bit of a mess if I am honest. It took them 4 hrs to complete the meal service in the Business class section so those wishing to have a...",International' 'Business Class' 'Hong Kong - Chicago
Slept like a baby,5,"Business seat 11d.
Close to the very front of the plane.
Was tired so slept well.
Had midnight snack of noodles and shrimp dumplings..quite deligtfull.
Got away on time and arrived early.
Staff very attentive and could not do enough.",International' 'Business Class' 'London - Hong Kong
Wish they could improve the quality of meal,3,"The only reasons I like Cathay is the wide selection of flights and their in flight entertainment. The service was good this time, I saw some smiles on flight attendant faces so this made the whole journey more pleasant. My only complaint is the quality of food, the food in general was quite dry. They congee for breakfast is quite...",International' 'Economy' 'Hong Kong - London
Good airline,4,"Good airline that did it all well, just nothing above and beyond. The price of the fare was awesome and given that there was a long stop over it made for a fun day in Hong Kong. The plane was comfortable and offered a good selection of movies, many were Asian films, but offered plenty of Hollywood movies too. Food...",International' 'Economy' 'Zurich - Auckland
Excellent service as always,5,"I have always found Cathay Pacific to be very dependable with one of the best service levels of any airline. The quality and range of food items is great. The in-flight entertainment had a very good selection of films and TV. The seats were very comfortable, offering some privacy.
The lunch had a good selection such as cod with chili...",International' 'Business Class' 'London - Hong Kong
Every Sector Had Issues,2,Every sector on this journey had issues. Mel-HKG and audio was faulty. HKG-CDG and leg support on seat was non-functional. Arrived in Paris and one suitcase was soaked and contents wet. Return journey from Dublin to HKG and the cabin crew were grumpy and un-helpful. HKG-MEL and sitting in 2nd row of the cabin and requested meal (chicken) had "run-out"...,International' 'Premium Economy' 'Melbourne - Paris
The Cathay experience,5,"For Economy class it was the best service I have got. Starting from Handling of luggage, seats, flights and food all arrangement were really good. Except a glitch that they left one of my bag in Hong Kong which was delivered to my doorstep after 2 days.",Asia' 'Economy' 'Hanoi - New Delhi
cant book your seats in advance,2,"I find it very disturbing that I cant reserve my seats only 48 hours in advance, Im a family of 5 have a very long from from Sydney via hong kong than SFO and would like to be seated with the family, if only i was told this before we booked would of NEVER BOOKED WITH CATHAY PACIFIC.",International' 'Economy' 'Sydney - San Francisco
One of many considerd,4,"Had wanted to go premium economy, but because of the booking through an online agency was unable to and so not looking forward to the long trip but from the moment we booked in to being on board everything went smoothly and the air hostess's did a great job with nothing being to much problem, the food was good as...",International' 'Economy' 'Melbourne - Beijing
"Young and energized staff, reasonble food selection; cup noodles on request a bonus",4,"Our family of 5 flew from Sydney, Australia to London via HK (stopover). We enjoyed the company of pretty young crew who were willing to assist/service compared to more mature crew on other airlines. We enjoyed the food selection.
Seats on the 777 are not comfortable compared to A38. Overall a good experience flying CX.",International' 'Economy' 'Sydney - London
Amazing service for first time flyer,5,First time on a plane in 7 years and it was amazing. I was on the premium economy class and received a free glass of champagne. Seats has many amazing features like footrests and built in plugs. Food was quite nice with a good selection and in flight entertainment was good too.,International' 'Premium Economy' 'Manchester - Hong Kong
The Food,2,"I had heard so much about Cathay Pacific. Because of their strong reputation, I wanted to book the 15 hour plus trip from Newark to Hong Kong for myself and family. While we were in Economy, I paid the upcharge to sit in the bulkhead seats. The food that was served reminded me of airline food from years ago before...",International' 'Economy' 'Newark - Hong Kong
Always good,5,"My flight was at midnight, I got to the airport 4 hours early, mainly because of a huge storm system passing by, not sure about the flight leaving on time. As it was the flight was delayed 1 hours. Cathay put me up in a 5 star hotel with a money voucher to buy food. My connecting flight I was...",International' 'Economy' 'Perth - Tokyo
Looked after us,5,"Our trip out to Australia was really good, no complaints. Food was good, service was good, transfer at Hong Kong was easy!
On our was back home I was extremely ill on the plane due to something I’d eaten before boarding. The staff were excellent. I was violently sick, weak and in a lot of pain. The staff moved me...",International' 'Economy' 'Perth - London
Cathay Business Class: pretty Basic,3,"This review is made after 4 segments where I experienced long haul and regional business class service. The old and extremely noisy 777 fleet is having mostly the 1/2/1 seat configuration on an angle positioning. If you are a couple, even on the center seats you will be quite far from each other... and the window seats are not exactly...",International' 'Business Class' 'Madrid - Hong Kong
First leg of flight to New York,4,"Good flight, comfortable seats. Sat in middle with two adjoining seats, both with isle access. Difficult to communicate with my husband in the seat beside me as the low screen between the seats cannot be moved. Would have been better with one window seat and the seat across the isle. Food was good with reasonable choices. It was my first...",International' 'Business Class' 'Sydney - Hong Kong
Good night sleep and reliably good service in business class,5,"Especially on the flight from Hong Kong to Amsterdam you can sleep very well in business class as the plane leave around 1 AM and the chair folds into a flat 18 degrees bed which is comfortable lenght.
Breakfast at arrival is too early as it starts 2 hours before arrival and therefore at around 4 am arrival time.
Love...",International' 'Business Class' 'Amsterdam - Denpasar
Poor quality and service,2,"I would like express my huge disappointment on my entire experience with Cathay Pacific on this particular flight. I was on a flight with my partner from Dubai to Hong Kong after travelling around Europe for 6 weeks. We were on our way home back to Australia. So as you can imagine, we are very tired from all the travelling...",International' 'Economy' 'Dubai - Hong Kong
First time flyers with Cathay Pacific,5,"I haven’t flown long haul for 4 years & wasn’t sure what to expect! All I can say is that it was a very positive flying experience, particularly the food which came around regularly, with a choice of 3 & was all lovely, accommodating everyone’s needs. It was a long flight but the pillow & blanket made it a comfortable...",International' 'Economy' 'Manchester - Hong Kong
Traveling on business UK Thailand,3,"Wow, its been a number of years since I traveled with Cathy Pacific.
Check in Heathrow.
Excellent staff very helpful, I arrived four hours early for the flight as I regard Heathrow as one of the worst airports in the world, disorganized, long, queues security staff with a bad attitude (should have done better at school).
Cathy Pacific.
Like most...",International' 'Premium Economy' 'Isles of Scilly - Hong Kong
Comfortable flight,5,"It’s been a while since I fly with CX, comfortable flights with good seats and the Inflight entertainment was enjoying. Able to keep me entertained for 3 hrs. Food was light and they served my favourite Hagan Daz Strawberry ice cream. Yummy!",Asia' 'Economy' 'Singapore - Hong Kong
Very Comfortable,4,Our flight from Hong Kong to Sydney was quite good. We did a big trip around Asia and flew with Cathay Pacific most of the way. All of our flights with them were excellent except for our final flight home. My husbands seat kept sliding back even when he didnt push the recline button. Mine would not stay reclined unless...,International' 'Economy' 'Hong Kong - Sydney
Premium service with nice feast,4,"Premium service with nice feast
Especially wasting caviar and drinking champagne upon the thirty thousands feet.
A lot of asking and caring during the flight
Before aboard, first class passenger can use flagship first dining",International' 'First Class' 'New York City - Hong Kong
Under expectations,2,"The seats were uncomfortable in the A35 although we had exit door seats. It has been first time that we flew a long haul flight where the crew did not come to serve drinks at all during the night. Although we flew Lufthansa from Munich to Hong Kong, we did not buy anything in Hong Kong, at check in they...",International' 'Economy' 'Auckland - Hong Kong
Bad experience for my first flight with Cathay Pacific!,2,"I had decided to go with Cathay Pacific after hearing ample positive feedback about the airlines, but unfortunately I am disappointed to say after my experience I am unable to list a single positive thing.
For starters, the service of the cabin crew. The crew was inhospitable, moody, in a rush, and it was a rarity to see one of...",International' 'Economy' 'Dubai - Hong Kong
Great first class experince,5,"First, first clas CX trip - excellent. Never realised how good caviar was with Krug (actually never imagined trying the combination!)great staff. Great service. Really comfortable ‘beds’..lack of latest release movies was the only downer but really i can’t complain about anything",International' 'First Class' 'Hong Kong - London
Absolutely worth it,5,First business class flight with CX. And it was great. Busy flight but great staff made it very enjoyable.,International' 'Business Class' 'Brisbane - Hong Kong
The kids love the kids’ meals,4,"The kids meals come with kiddie cutlery and a toy straw which the kids love.
Stewardess service levels are good - Accommodating where they can on a full flight.
One thing to note. We took a different plane on our return trip and the in flight entertainment for the kids (games) were different!!
So I had to spend half the...",Asia' 'Economy' 'Singapore - Hong Kong
Excellent Customer service,5,Excellent customer service. In flight service is very professional and caring. Cleanliness and attention to passengers need is better than many airlines.,International' 'Economy' 'Toronto - Hong Kong
A long flight,4,"The first flight in the A35 from Melbourne to Hong Kong was excellent. Comfortable and great service.
The change over was only 2 hours which passed quickly
The 777 from Hong Kong was very noisy but service was still great. Not as comfortable as the A35",International' 'Business Class' 'Melbourne - Zurich
Pretty Good,4,"Have never flown with Cathay before so was keen to see how it stacked up against Singapore Airlines who I've flown with lots. Cathay Pacific were pretty good overall for an economy flight. The staff were pleasant, food was okay & inflight entertainment was good too. My only complaint would be that they were a little light on with drinks....",International' 'Economy' 'Melbourne - Milan
Cathay flight,4,"I have flown Cathay Pacific many times, twice in Business Class, and have always found their service, care and kindness exceptional, as I did this time. However there was a failure when I arrived at Vancouver Airport. I am disabled and had booked a wheelchair and for help with my luggage. Somewhere there was a communication breakdown and I was...",International' 'Business Class' 'Perth - Vancouver
Comfortable flight,5,"With 2,4,,2 configuration, flight was full, but seats were comfortable, service efficient. Transfers at airport, easy. The leg to Hanoi was slightly delayed but it was a comfortable flight in a 3 by 3 seating. Luggage transfers were good. Cathay Pacific staff at Adelaide airport most helpful and visa stamping at Hanoi was not such a lengthy process.",International' 'Economy' 'Adelaide - Hanoi
Efficent and Comfortable Business Class,4,The departure from Auckland was on time and the service very attentive. I felt the selection of movies on the entertainment system was disappointing and that there should have been a bigger selction of english and US movies that were recent releases. No good drama/dective movies or TV series to watch. The food is OK however nearly everything had chilli...,International' 'Business Class' 'Auckland - Hong Kong
Children around me did not have seat belts on at take off.,1,"Plenty of foot room and modern plane but not a good choice of movies. All this is minor to the fact that no one checked that the children had on their seat belts.
One little boy near me was sitting forward near the screen and it was more than obvious he was not belted up.
Safety is important especially with...",International' 'Economy' 'Hong Kong - Sydney
Would not take it again,3,Left Tarbes Lourdes Francs plane was too hot - no air conditioning while waiting inside the airplane. It was just so hot that day but I couldn’t understand why it was hot air blowing inside. I would not recommend this airline,Domestic' 'Economy' 'Lourdes - Paris
Cathay pacific,4,Excellent service. Food was good but not great. Drink selection can be much improved. We flew two long flights. Australia to HongKong which was excellent and had a lot of toilets but the second long flight from Hingkong to Vancouver had so few toilets it was terrible to queue outside one for ages,International' 'Economy' 'Melbourne - Vancouver
Goodbye Cathay Pacific,3,"Cathay has lost me as a customer. For years I have flown Cathay between Hong Kong and the US. I was willing to pay a little more because the service was better and because I could upgrade with miles. I stuck with them even as they became significantly more expensive than the competition. Well, now you can forget about the...",International' 'Premium Economy' 'San Francisco - Hong Kong
Better than expected?,5,"It didn't start off well but turned out good. Flight was delayed to the following day. Upon check in the apologized profusely for the inconvenience it may have caused
Once on the plane we had plenty of room for economy seating and the entertainment center was AWESOME! It was a 12 hour flight to Hong Kong where we had another...",International' 'Economy' 'Los Angeles - Denpasar
Great experience!,5,"This was my first time with Cathay Pacific and it turned out to be a great experience. Departure and arrival times were guaranteed, the staff was friendly and the food was up to standards. If I travel in that direction once more, I'll most probably choose Cathay again and I strongly recommend it to all of you reading this!",International' 'Economy' 'Brussels - Hong Kong
Beware of Cathay Pacific Reserved Seats policy,1,In January 218 i paid in full for air tickets to New Zealand with a stop over in Hong Kong on the outward and return trips. Departure date from UK is Monday 1th September 218 from Edinburgh to Heathrow then Hong Kong. Having flown to New New Zealand on several occasions by various airlines I choose Cathay Pacific for this...,International' 'Economy' 'Edinburgh - Auckland
They should be number 1,5,"Seriously good service from start to finish.
It's pretty hard to write something bad happening from check-in- lounge- lounge & the return flight was just as seamless.
They should be Number One airline.",International' 'Business Class' 'Brisbane - Hong Kong
Almost very good,4,"Check in,Lounge and comfort were all very good,strange with dinner soured the experience a little when the pre dinner drinks was served following the entree.They made some lame excuse but the impression we got was to speed up the process.
Bumpy ride but you cannot blame the airline for that.
For the right price would use them again.",International' 'Business Class' 'London - Sydney
Great service and friendly staff. Comfortable flight!,5,"I really liked flying with Cathay Pacific. The staff were lovely, they had everything we needed and the food was pretty good!",International' 'Economy' 'Melbourne - Hong Kong
Space in seats are too small.,3,"I am a small person,but the seat is still too cramp. The plane from Hong Kong to Manila is much better, compared to the flight from Toronto to Hong Kong.. the seat space is much bigger.",International' 'Economy' 'Toronto - Manila
Very good quality and service,1,"Large space for such a long trip.
I fully recommend.
The service was good, the staff very helpful and smiling.",International' 'Premium Economy' 'Barcelona - Hong Kong
From A to B with no frills.,3,The aircraft was tired with worn seats and worn IFE. The food served (breakfast) was some of the worst airline food I have ever had the (dis)pleasure to be served - it was seriously bad and was tasted then left alone. The flight crew were not exactly cheerful or friendly and when exiting the aircraft at the end of the...,Asia' 'Economy' 'Bangkok - Hong Kong
5 hours delay with no minimal treatment,1,"very disappointing.
our flight from Hong Kong airport delayed for 5 hours.
with some blurred reasons they gave us.
every few minutes they gave another boarding time.
no one even pay attention to passengers.
it was in middle of the night.
i expatriate from other air companies some drink or food or some better attitude.
when going to their web...",International' 'Economy' 'Tokyo - Tel Aviv
Disappointed with Poor Service,2,"Cathay Pacific has been a typically dependable airline, but in my recent travel with them, it was an incredible disappointment. First, they delayed our flights (CX892) from HK to SFO (San Francisco) by over 2 hours due to their operational issues, so we missed our connecting flight from SFO to PDX (Portland). Second, we were not informed of the recovery...",International' 'Economy' 'Hong Kong - Portland
We flew with cathay pacific from Melbourne,4,It is a long flight to London . We did stop for 2 hours in Hong Kong which was time to stretch the legs and have a look at the duty free items Cathay Pacific Air hostess and staff were wonderful they would go out of there way to help you and my husband i enjoyed their meals no complaints...,International' 'Economy' 'Melbourne - London
Still one of the Best,5,"Cathay Pacific has been on top of the airline pile for many years. This was my first flight with them in a long time and i was not disappointed. Excellent service and a clean and modern aircraft, The staff were exceptional and the flight was very smooth. I will be back.",International' 'Economy' 'Beijing - Melbourne
Not bad,4,We recently flew return from Brisbane to London. The staff on the return from London were immensely better than the staff to London. On the way over the attendants seemed rude and inconvenienced by my daughter and I. However on our return the staff were friendly and helpful and very accommodating. I do think Cathay needs to expand the entertainment...,International' 'Economy' 'Brisbane - London
excellent service,4,"excellent service with their crew members and drinks are more choice like soft drink,fruit juice and wine. Also food was good taste.",Asia' 'Economy' 'Hong Kong - Denpasar
Same class different experience,4,"The second leg of our flight from Dublin to Melbourne was not quite as good as the first leg. Different plane, maybe older but configuration of seats not quite as comfortable. Service a little more varied. Just felt not quite as good as the Dublin-HongKong leg and made me wonder if it would be worth checking cost of business class...",International' 'Premium Economy' 'Hong Kong - Melbourne
Premium economy,4,"This was the first time I’ve travelled premium economy. It was well worth it! The flight was 12 hours so the extreme space and comfort was really appreciated. Things like priority boarding, a welcome refreshment (champers) as soon as we sat down, were lovely after the usual long walk and wait within the airport. Two flights to get us from...",International' 'Premium Economy' 'Dublin - Hong Kong
Business class - excellent service and great comfort,4,Seat 19A window. Seat reclines back fully. A great wraparound blanket with legholes. Great choice of drinks even made a gin and tonic twice without asking before dinner meal. Quentin was the efficient and friendly pursuer. Had a Cantonese-style choice of a variety of Dim Sum sealmai/dumplings or the hot fish and peanut congee breakfast which was different fare with...,International' 'Business Class' 'Hong Kong - New York City
Acceptable!,3,The seats we chose were changed without being asked and informed only when we broaded. So disappointed! The overall services and meal are good.,North Asia' 'Economy' 'Hong Kong - Nagoya
As good as it gets.,5,Excellent service. Good food. Well chosen wine. Can't imagine a flight could be made any better. Overall better than expected. Got off the plane well fed.,International' 'Business Class' 'Hong Kong - Perth
Amazing Flight!,5,"I was able to redeem miles for a first class flight from Hong Kong to New York. Service was superb from start to finish. Cathay's first class lounge in Hong Kong was breath-taking. If you are flying in first, you must visit the cabanas for a shower! The wait times can be long, so be sure to put your name...",International' 'First Class' 'Hong Kong - New York City
Never again with this airline.,1,"We took Cathay Pacific from SFO to Cebu,PH round trip. The flight going was ok. However, our return flight from Cebu to HongKong was delayed. And because of that, we missed our connecting flight back to SFO. I understand that things like this happens but the airline employees not giving a sh!t about their customer is another thing. We arrived...",International' 'Economy' 'Cebu Island - San Francisco
Fabulous from start to Finish,5,"If you have to fly 15 hours from Toronto to Hong Kong I would recommend Cathay. Great service on the place, comfortable enough seats and lots of on board inseat entertainment. No one likes these long flights but they have it down to a science. they also offer snacks and noodles at any time during the flight as well as...",International' 'Economy' 'Toronto - Hong Kong
Redemption point changes,1,I tried very hard to earn points through credit card spending so that I can earn enough to upgrade premium economy to business class. Round trip upgrade used to be 45k points only and all of sudden with recent update to their point system it will now cost me 7k points for the same upgrade. All of sudden my entire...,International' 'Business Class' 'Hong Kong - New York City
A suoer flight,5,"A super flight! The air hostesses were superb and you seem to never stop eating! The food was really great and they're forever serving snacks in-between the meals. The 12 and half flight to Hong Kong went well and then 4 and a half hours to Bali. As usual, Economy class seats are very close together but nothing less than...",International' 'Economy' 'Johannesburg - Denpasar
Terrible Inflight Experience,1,"If this Airlines claims to represent Hong Kong,it did a terrible job.
We flied CX 72 on Aug 12 218.Our seats were 44E and 44G.
First the flight was delayed.
Second the asian short hair lady inflight service attendant,only spent her time taking to someone she obviously knows while ignoring the rest of us.My poor husband tried to get me...",Asia' 'Economy' 'Bangkok - Hong Kong
Good staff service,5,Surprisingly good flight - I have heard so many negative comments about Cathay recently so I had no expectations when boarding the flight. We had an enthusiastic flight attendant by the name of Leslie and his attitude should be copied by everyone on Cathay flights. He spoke to the in-flight service director to make arrangements for my assistant to have...,North Asia' 'First Class' 'Hong Kong - Tokyo
Good service,4,I have always flown with this airline for the past 17 yrs now. It offers very good service and affordable price considering the distance. The last time I travelled they lost my luggage and the team in Cebu were very helpful. They asked me if I was okey when they saw me left alone in the carousel waiting for my...,International' 'Economy' 'Cork - Cebu Island
Nicer than expected,4,"We were dreading the long flight from the USA to Malaysia. Booked on Cathay Pacific as I remembered it to be quite good. Their partners included Cathay Dragon, United and American Airlines. The American and Cathay Dragon planes were nice and had more space than United. The planes were newer and have screens on the headrests in front of our...",International' 'Economy' 'Los Angeles - Penang
Great Business Experience,5,Two excellent flights via Hong Kong. The seats were great and the service fantastic from check in to arrival.,International' 'Business Class' 'London - Melbourne
Very Nice!,5,"Just flown from Hong Kong to Taipei on Cathay Pacific CX46 and it was a perfect flight.
Nice lounge in HK with good choice of food and drink. Nice check in with friendly staff. Easy boarding and warm welcome on the plane. Great Food I had the pork ribs and banana cheese cake. Staff all very friendly and comfy seats....",North Asia' 'Business Class' 'Hong Kong - Taipei
Great product,5,"We had the absolute pleasure of flying Auckland to Hong Kong on Cathay in prem economy. The food was lovely and the staff very attentive. The seat was very comfortable, and had several options for changing position to keep you comfortable. I would certainly recommend it over the likes of Lufthansa, who we had the unfortunate experience of flying after...",International' 'Premium Economy' 'Auckland - Hong Kong
Good lounges but average seats,4,"Cathay has good lounges in hk and tokyo narita and the pier is definitely one of my favourite lounges in the world. If u travel business class or u are a one world elite member, u could also gain access to japan airline's lounge whose japanese beef curry is great.
When it comes to the seats, i tried both the...",North Asia' 'Business Class' 'Hong Kong - Tokyo
CP is not one of the top airlines such as Singapore AL+ ANA Still CP is one of the best!,5,"I have traveled for work as often as every 2 or 3 months from the USA to France and VN
For destination to VN I used to fly trom WDC to HCMC on ANA which is one of the top best airlines and their services are top professional although some hostesses can be rigid and straight for no reason! and...",International' 'Premium Economy' 'Los Angeles - Ho Chi Minh City
Great experience,4,"We hadn’t slept on our long flight before this one and it was such a comfortable and easy flight that we almost slept the whole 9 hours! The service was really lovely, the food wasn’t too bad and the captain was really vocal (he spoke about 4 times during the flight) which was nice because you don’t get that on...",International' 'Economy' 'Hong Kong - Sydney
Premium Economy Flight Melbourne - Hong-Kong,5,This was one of the best flight I have ever taken! Premium Economy on this airline is AMAZING. Everything you can wish for on a 9.3 flight. Service was best! Arrival in HK fast and smooth.,International' 'Premium Economy' 'Melbourne - Hong Kong
Decent inflight service and awful reservation and other experience,1,In flight service is decent for the airline. The overall management of the airlines is poor however. 1. If you book with an agent you cannot ever change the reservation directly with airlines. So in an international travel when you may be across time zones and holiday season etc. you have to wait for the travel agent. This is ridiculous...,International' 'Premium Economy' 'Hong Kong - New York City
Too many planes.,5,"We had a stop over in Hong Kong, total time 25 hours.
Having not travelled long distances for a while we were amazed
at the huge airport terminals, like the one in Hong Kong and Zurich
where you need to catch a train to get to some of the gates and
because of this we experienced some delays, but nearly...",International' 'Business Class' 'Auckland - Amsterdam
We flew Premium Economy and we had plenty of room,4,"This is the second time we flew Premium Economy with Cathay Pacific. The extra leg room really comes in handy if you are tall, also it's great to go towards the front of the plane without queuing up.",International' 'Premium Economy' 'Melbourne - Copenhagen
Catering Needs Attention,4,"Inflight service is fine however catering needs more attention.
On the first leg I choose cod however the cod is over cooked and is very dry.
Breakfast I choose the dim sum selection dim sum are ok however the sticky rice is not even warm. I informed the cabin crew and she suggest to either prepare another one for me...",International' 'Premium Economy' 'Hong Kong - Madrid
One of the best,5,Exellent service great food and one of the best beds in the air.with Cathay you always get consistancy . To date i have never been dissapointed and cathay remains my airline of choice,International' 'Business Class' 'Hong Kong - Zurich
"Nice food, tight seats",3,the service was great. the food was okay. flight attendants make you feel comfortable. but seats are tooo tight. next time i would travel premium economy or business class. I would recommend for that long flight (15 hours to HK) to get a premium economy or business class seats. other than that service was great.,International' 'Economy' 'Newark - Manila
Premium Economy Class flight from Hong Kong to Milan,3,Had a flight back from HKG to MXP with Cathay Pacific in the Premium Economy Class. Boarding was OK but for me the PE class seat is not very comfortable. When I compare this with the economy class of Thai airways in the A35 then I would always prefer Thai even tough it is only economy class but the seat...,International' 'Premium Economy' 'Hong Kong - Milan
Cathay Pacific Airlines,4,"My husband and I together with my sister and her husband (who were first time flyers) flew from Colombo to Hong Kong and then to Melbourne, Australia last month and returned on 4/8/218. The service was very good and the food was excellent in both flights and we thoroughly enjoyed. The flight attendants were very polite and their service was...",International' 'Economy' 'Colombo - Melbourne
Great airline overall,5,"The ground services like check-in and lounge are one of the best in the industry (at least in the region). If you can, stop by the Pier Lounge yo try out their noodles.",North Asia' 'Premium Economy' 'Hong Kong - Seoul
Great Service,5,We flew from Perth to Hong Kong in a new Airbus 35 then on to London in a Boeing 777. Both aircraft were comfortable although I found it easier to sleep with the 'lie flat' bed at an incline rather than completely flat. Service was excellent and the food very good with a selection to please most tastes. The break...,International' 'Business Class' 'Perth - London
First time to Europe with Cathay Pacific,4,"My wife and I recently travelled to Europe on a much needed holiday, and decided to fligh with Cathay Pacific in order to enjoy a stopover in Hong Kong on the return trip.
Over the years I have flown dozens of times to Europe and Asia, with many top airlines including Qantas, Singapore Airlines and Thai International among the best...",International' 'Economy' 'Sydney - Rome
Great service still exists in this world,5,Our flight from NYC to Vancouver and back again went very smoothly. The flight attendants and check in attendants were very professional and helpful. Loved not having an extra fee for bags. Even got meals included. We were not used to this treatment on flights on US airlines! Seats recline a little more than most planes in economy. Really wish...,Canada' 'Economy' 'New York City - Vancouver
New planes does not help with comfort during long flights,1,"Took this flight from SFO to HKG. It was A35-9, new plane. But inside was terrible. Non-working USB ports, no power on the seat. The seat cushioning is so bad that I could feel the back seat passenger in my back, literally massaging me thru out the flight. Uncomfortable seats, standard entertainment system made this flight very boring, looking at...",International' 'Economy' 'San Francisco - Hong Kong
Cathay - Never again,1,"Ultimately my wife left in the same Cathay flight but on Aug 6th. Flight was on time, she reached HKG on time. From there she took SFO flight @ 3 hours. Well, the saga continued here in this flight. The plane was extremely old (Boeing 777 3ER). the air hostess and staff were extremely rude. The takeoff was the worst...",International' 'Economy' 'Hong Kong - San Francisco
"First time, never again...",1,"I was on a business trip to Bali fro three days, along with my wife. I planned to go early, take a couple of days off, spend some time to inaugurate our 25th marriage anniversary in Bali. Because I was on a business trip, my plan was to go from SFO to Bali (Sat thru Thu), fly out of Bai...",International' 'Economy' 'Denpasar - San Francisco
Perfectly good flight,4,"Once you get past the check in at manchester, which was ridiculously inefficient even when you had printed/ downloaded your boarding cards, the flight / airline was efficient . An A35 with 3x3x3 seat arrangement wasn’t ideal for a family of 4. Entertainment system excellent with more than enough up to date films . Food ok with on tap snacks...",International' 'Economy' 'Manchester - Hong Kong
Overall OK international flight,3,"Overall the flight was ok, the food (Indian Veg) was not that great on the Chennai to LAX leg, The checked in bag was missing and it took 3 days for Cathay to locate my bag and another 2 days to deliver it to me.",International' 'Economy' 'Chennai (Madras) - Los Angeles
