岗位,职业,公司简介
麦当劳五羊新城店咖啡区域招实习咖啡师,实习,专营餐饮品牌的经营及管理、拓展、教学培训、产品定制、数据收集、人力资源管理等个性化服务管理。
临时工15天3000包吃住,临时工,劳务派遣服务;软件批发;信息技术咨询服务;网络信息技术推广服务;酒店管理;企业形象策划服务;教育咨询服务;文化艺术咨询服务;仓储咨询服务;人力资源外包;劳务承揽;接受委托从事劳务外包服务;装卸搬运;打包、装卸、运输全套服务代理;
广州网易游戏体验招募,调研,隶属于网易公司。
16元一时日结19号白云宾馆服务员,服务员,[]
海珠区日结服务员14元/时,服务员,广州市大型策划公司，承接各种校园策划和商业策划活动
可周末可长期兼职包,服务员,广州市大型策划公司，承接各种校园策划和商业策划活动
2018琶洲ICEE跨境电商展兼职,其他,[]
麦当劳五羊新城店咖啡区域招实习咖啡师,实习,专营餐饮品牌的经营及管理、拓展、教学培训、产品定制、数据收集、人力资源管理等个性化服务管理。
临时工15天3000包吃住,临时工,劳务派遣服务;软件批发;信息技术咨询服务;网络信息技术推广服务;酒店管理;企业形象策划服务;教育咨询服务;文化艺术咨询服务;仓储咨询服务;人力资源外包;劳务承揽;接受委托从事劳务外包服务;装卸搬运;打包、装卸、运输全套服务代理;
广州网易游戏体验招募,调研,隶属于网易公司。
急招4000服务员月休八天,临时工,广州雄才信息科技有限公司是一家专注于酒店基层人力资源服务、劳务派遣的专业管理公司，主要提供酒店筹建、筹备、客房清洁外包、PA外包、管事部外包、宴会帮工、餐饮临时工、实习、展会、礼仪、模特、派发、临时工、委托管理等咨询服务的人力资源服务公司涉足酒店劳务管理行业多年。
黄埔区长白班翡翠餐厅服务员,服务员,提供最新兼职信息
广州百草味食品工厂/21元/小时包吃住,临时工,[]
2019寒假工代理火爆招聘,临时工,陶瓷、玻璃器皿批发;玻璃钢材料批发;玻璃钢制品批发;陶瓷、玻璃器皿零售;装修用玻璃零售;玻璃钢材料零售;玻璃钢制品零售;商品批发贸易(许可审批类商品除外);商品零售贸易(许可审批类商品除外);商品信息咨询服务;进出口商品检验鉴定;货物进出口(专营专控商品除外);室内装饰、设计;广告业;电子设备工程安装服务;智能化安装工程服务;技术进出口;信息技术咨询服务;
京东商场+18元包吃住/长白班,临时工,[]
竹料良田工业区急招13元每小时临时工,临时工,人力资源公司，大量招聘普工
小北诚聘厨房学徒工多名包吃住轻松月400,其他,人力外包服务，不收任何费用
英文翻译兼收银,销售,法德堡披萨，是一家新生的意式餐厅，我们邀请有多年烹饪经验的大厨为我们开发多种风味披萨以及各款特色的小吃。我们有四味香融芝士、法德堡、微辣烤肉等十八款风味披萨~此外还有意粉、三明治以及其他小吃。在短短开业半年期间，深受附近居民、写字楼文员的好评！不仅仅是中国人，也有许多外国友人慕名而来。这是一家用口碑来体现价值的餐厅，只要你来，就会发现，法德堡披萨，是实现你自身价值的一个很好的平台！
21元/小时包吃住广州康师傅/长白班,临时工,[]
月薪3000到4500元纯接听客服,客服,"宝峻德PAXEX是一家经验丰富的目标营销顾问公司及呼叫中心外包服务提供商，我们的呼叫中心专注于提供客户服务与客户开发外包解决方案。 我们拥有多年的呼叫中心运营经验、服务超过50个国际大型机构、运作超过100个电话销售及热线外包项目,服务领域专注于金融,电信,家电及个人消费品行业。 \n\n       宝峻德(PAXEX)服务于全球性的大中型企业以及这些企业的客户，通过一流的技术手段，高品质的培训和质量保障系统，为企业争取，服务和维系客户，增加客户的满意度，帮助企业延长客户的终身价值。\n\n       在宝峻德，学历、年龄都不是最重要的，我们欢迎的是德才兼备，努力上进之仕，您的胸襟才略有多大，您的位置就有多高！欢迎加入广州宝峻德商贸有限公司，一个活力十足、开心快乐的大家庭！\n\n       由于本公司招聘职位较多，请应聘者不要重复申请，多谢合作！"
长隆日结兼职15元/时(每天可以安排上),其他,[]
15日结16月结大量招日结兼职,临时工,花点网络科技(广州)有限公司旨在打造广州最新最快最全兼职信息服务平台，力争给所有求职者一个优质的就业环境。
15日结16月结大量招日结兼职,临时工,花点网络科技(广州)有限公司旨在打造广州最新最快最全兼职信息服务平台，力争给所有求职者一个优质的就业环境。
美术兼职老师,家教,[]
15块每时下午科韵路酒店需多名日结服务员,服务员,酒店管理;餐饮管理;企业管理服务（涉及许可经营项目的除外）;企业管理咨询服务;企业形象策划服务;文化艺术咨询服务;策划创意服务;投资咨询服务;广告业;以服务外包方式从事职能管理服务和项目管理服务以及人力资源服务和管理;会议及展览服务;模特服务;投资管理服务;资产管理（不含许可审批项目）;接受委托从事劳务外包服务;单位后勤管理服务（涉及许可经营的项目除外）;公司礼仪服务;公厕保洁服务;包装服务;商品信息咨询服务;建筑物清洁服务;计算机技术开发、技术服务;信息技术咨询服务;物业管理;商品零售贸易（许可审批类商品除外）;商品批发贸易（许可审批类商品除外）;人力资源外包;
急需平面设计兼职5名,设计,急招大量兼职员，工资日结
海珠琶洲会展车展招聘兼职,临时工,[]
烫发-发模不用剪短200一天,模特,0618美发培训中心是一所致力培养美业优秀人才的培训机构，我们以自主研发的技术屹立于美业，是目前最火爆的技术！
中国美的集团家用空调20元小时,临时工,兼职、临时工或长期工，18825602735微信或短信
特仑苏牛奶集团20元H包吃住,临时工,广州合盈人力资源服务有限公司，是属于一家招聘人力资源公司，为各大企业提供人才。\n公司自成立以来，始终坚持以人才为本、诚信立业的经营原则，荟萃业界精英，使企业在激烈的市场竞争中始终保持竞争力，实现企业快速、稳定地发展。
急招科韵路日结酒店兼职,临时工,给学生提供最高薪以及优质的兼职！
高利润校园合伙人班服代理,校内,不同订制品牌隶属于广州市梵岛贸易有限公司，成立于2013年5月，位于广州市白云区欧梵广场A201。\n我们是广东省最专业的团体服装订制品牌，针对公司 企业 学校 客户，主要有中高档  短袖  Polo  衬衣  马甲  帽子 等\n24小时预约专人上门面对面服务，一流的制作工艺，可开正规发票。
写字楼文员兼职,文员,[]
广州中华意力电子厂18元小时198元,临时工,兼职、临时工或长期工，18825602735微信或短信
广州益力多乳丨寒假工5千丨普工,临时工,广州合盈人力资源服务有限公司，是属于一家招聘人力资源公司，为各大企业提供人才。\n公司自成立以来，始终坚持以人才为本、诚信立业的经营原则，荟萃业界精英，使企业在激烈的市场竞争中始终保持竞争力，实现企业快速、稳定地发展。
日结17元时19号星河湾酒店宴会服务员,服务员,多年的劳务派遣服务经验，现承接各大酒店、公司、工厂、楼盘派单、各类外卖酒会、物流快递、会议充场等一切兼职、人事代理、劳务派遣！专业为各大企业解决人力用工难题！\n如需洽谈请致电张生：18898530690（微信同号）
日结17元时19号星河湾酒店宴会服务员,服务员,多年的劳务派遣服务经验，现承接各大酒店、公司、工厂、楼盘派单、各类外卖酒会、物流快递、会议充场等一切兼职、人事代理、劳务派遣！专业为各大企业解决人力用工难题！\n如需洽谈请致电张生：18898530690（微信同号）
15元一小时科韵路日结兼职服务员,派单,给兼职一份好兼职工作。
小学托管兼职老师,家教,[]
高薪寒假工实习生长白班坐班月入5k+,派单,本公司提供真实可靠兼职、临时工、暑假工。等信息，直招免费，请放心报名。请联系梁小小姐17322152307进行预约报名，微信同步
兼职电话客服,实习,中国人寿保险（集团）公司，是国有特大型金融保险企业，总部设在北京，世界500强企业、中国品牌500强，国家副部级单位。
三只松鼠丨普工5千丨寒假工4千,临时工,广州合盈人力资源服务有限公司，是属于一家招聘人力资源公司，为各大企业提供人才。\n公司自成立以来，始终坚持以人才为本、诚信立业的经营原则，荟萃业界精英，使企业在激烈的市场竞争中始终保持竞争力，实现企业快速、稳定地发展。
美工技术员兼职,设计,"广州筠盛贸易有限公司的前身是鹏盛进出口有限公司,鹏盛进出口有限公司自2008年在香港创立以来，一直致力于厨房、浴室、客厅挂件、拉篮系列等装饰五金产品的开发设计、生产及销售的纯出口企业，是国内同行业规模最大的外贸出口企业之一。2014年3月广州筠盛贸易有限公司成立，公司具有进出口经营权，自营和代理各类商品的进出口。\r\n公司拥有一万平方米的现代化生产厂区，产品涉及拉手，门把手，铰链，滑轨，厨房拉篮、厨房配件，桌角台脚及其他家具五金配件，卫浴挂件等十三个系列近六千品种，远销欧美、中东、澳洲，南美，非洲等五大洲六十多个国家和地区。目前公司年销售产值达肆千万元，出口创汇几千万元。\r\n公司采有MDA2000三维CAD软件和智能化专业设计软件进行设计。通过与国外优秀企业、科研机构合作，产品质量、外形达到国际标准。同时，公司成功获得ISO9001国际质量体系认证，推行全方位的电脑管理ERP系统和“6S”现场管理，全面提升公司的管理水平，为企业的腾飞打下坚实的基础。\r\n在未来的发展中，公司将坚持规模提升、结构调整、文化支撑的发展战略，强化科技研发和自主创新，优化提升公司整体管理水平，弘扬“有智慧、有活力、有国际观” 的企业精神，成为“最具竞争实力的行业领导”。"
线下APP推广,销售,近年来，在中国的许多城市，越来越多的人开启了无现金的生活模式。中国使用无现金支付的实名制用户超过4.5亿；中国蚂蚁金服和印度合作伙伴打造的印度版支付宝Paytm用户超过2.2亿，成为全球第三大电子钱包。今年2月，支付宝宣布用5年时间推动中国进入无现金社会生活的新阶段，无现金城市和无现金社会生活是未来发展的重要趋势。\n       我司作为阿里巴巴湖北省运营合作商，积极响应阿里新政策，负责支付宝收钱码的升级以及推广工作，无现金城市才刚刚起步，在现今的社会形势下，无现金必是一个大的趋势，同时，市场也有巨大的空白，潜力无限。现诚招合作商共同完成推广工作。\n      新的时代已来临，你，是否准备好了？
日结白云区广工商附近酒店兼职,临时工,广东响响商务服务有限公司
包宵夜不装卸太和镇韵达快递日结,临时工,提供最新兼职信息
坐班18元一小时白班,其他,[]
3小时120元现场导购员,临时工,我司成立于2008年，是一家科技创新型企业，专业从事移动电信业务、网络电子商务开发、运营和销售，在广州、东莞、佛山等有十几家门店连锁，2013年将零售业务打包转型，开启了电商销售平台、团购业务和网络平台开发等创新业务。多年来，我司秉承“质量第一，客户第一”的服务宗旨，产品深得客户信任和喜爱，并得到了广大客户的肯定和赞赏。 同时，在公司全体员工的努力下，公司销售额每年成倍递增，2014-2015年更创下公司历史之最，已成为整个广州最大的移动业务代理商。
